annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,78,78,0,active,▼B,,400,"Dipotassium 3,6-dichloro-2-
(2,4,5,7-tetrabromo-6-oxido-3-
oxoxanthen-9-yl)benzoate",45405,,,,Red,"Not to be used in eye
products",,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3Η xanthen-
9-yl) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",,0
IV,79,79,0,active,▼B,,400,"3,4,5,6-Tetrachloro-2-(1,4,5,8-
tetrabromo-6-hydroxy-3-
oxoxanthen-9-yl)benzoic acid
and its insoluble barium,
strontium and zirconium lakes,
salts and pigments",45410,,,,Red,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3Η xanthen-
9-yl) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",,0
IV,80,80,0,active,▼B,,401,"Disodium 2-(2,4,5,7-tetraiodo-
6-oxido-3-oxoxanthen-9-yl)
benzoate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",45430,,,240-474-8,Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 127)",,0
IV,81,81,0,active,▼B,,401,"1,3-Isobenzofurandione,
reaction products with
methylquinoline and quinoline",47000,,,,Yellow,"Not to be used in products
applied on mucous
membranes",,,,0
IV,82,82,0,active,▼B,,401,"1H-Indene-1,3(2H)-dione, 2-
(2-quinolinyl)-, sulfonated,
sodium salts",47005,,,305-897-5,Yellow,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 104)",,0
IV,83,83,0,active,▼B,,401,"Hydrogen 9-[(3-methoxyphenyl)amino]-7-phenyl-5-
(phenylamino)-4,10-disulphonatobenzo[a]phenazinium,
sodium salt",50325,,,,Violet,Rinse-off products,,,,0
IV,84,84,0,active,▼B,,401,Sulfonated nigrosine color,50420,,,,Black,"Not to be used in products
applied on mucous
membranes",,,,0
IV,85,85,0,active,▼B,,402,"8,18-Dichloro-5,15-diethyl-
5,15-dihydrodiindolo[3,2-
b:3',2'-m]triphenodioxazine",51319,,,,Violet,Rinse-off products,,,,0
IV,86,86,0,active,▼B,,402,"1,2-Dihydroxyanthraquinone",58000,,,,Red,,,,,0
IV,87,87,0,active,▼B,,402,"Trisodium 8-hydroxypyrene-
1,3,6-trisulphonate",59040,,,,Green,"Not to be used in products
applied on mucous
membranes",,,,0
IV,88,88,0,active,▼B,,402,1-Anilino-4-hydroxyanthraquinone,60724,,,,Violet,Rinse-off products,,,,0
IV,89,89,0,active,▼B,,402,"1-Hydroxy-4-(p-toluidino)
anthraquinone",60725,,,,Violet,,,,,0
IV,90,90,0,active,▼B,,402,"Sodium 4-[(9,10-dihydro-4-
hydroxy-9,10-dioxo-1-anthryl)
amino]toluene-3-sulphonate",60730,,,,Violet,"Not to be used in products
applied on mucous
membranes",,,,0
IV,91,91,0,active,▼B,,402,"1,4-bis(p-Tolylamino)anthraquinone",61565,,,,Green,,,,,0
IV,92,92,0,active,▼B,,402,"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-
methylsulphonate)",61570,,,,Green,,,,,0
IV,93,93,0,active,▼B,,403,"Sodium 3,3'-(9,10-dioxoanthracene-1,4-diyldiimino)bis
(2,4,6-trimethylbenzenesulphonate)",61585,,,,Blue,Rinse-off products,,,,0
IV,94,94,0,active,▼B,,403,"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-
9,10-dioxoanthracene-2-
sulphonate",62045,,,,Blue,Rinse-off products,,,,0
