annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,299,293,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","To be printed on the label:
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary ‘black henna’ tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary ‘black henna’
tattoo in the past.’"
III,300,294,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,0 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","(a) To be printed on the label: The
mixing ratio.
‘ Hair colorants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary ‘black henna’
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
‘black henna’ tattoo in the
past.’"
III,300,294,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 0,2 %",0.2,%,,,,
III,301,295,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,,
III,302,296,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,4 %",0.4,%,,,,
III,303,297,1,a,label,"(a) Oxidative hair
dye products",(a) 7 %,7.0,%,,,"(a) to (e):
The level of ethylene glycol
impurity in Ethoxydiglycol
must be ≤ 0,1 %.
Not to be used in eye
products and oral products.",
III,303,297,2,b,label,"(b) Non-oxidative
hair dye
products",(b) 5 %,5.0,%,,,,
III,303,297,3,c,label,"(c) Rinse-off
products other
than hair dye
products",(c) 10 %,10.0,%,,,,
III,303,297,4,d,label,"(d) Other non-
spray cosmetic
products","(d) 2,6 %",2.6,%,,,,
III,303,297,5,e,label,"(e) The following
spray
products: fine
fragrances,
hair sprays,
antiperspirants
and deodorants","(e) 2,6 %",2.6,%,,,,
III,304,298,1,,gap,Hair dye substance,As from,,,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,304,298,2,,gap,in non-oxidative,3 September,,,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,304,298,3,,gap,hair dye products,"2017: 0,5 %",0.5,%,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,305,299,1,,gap,Hair dye substance,As from,,,,,,"As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,305,299,2,,gap,in non-oxidative,3 September,,,,,,"As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,305,299,3,,gap,hair dye products,"2017: 0,5 %",0.5,%,,,,"As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,306,300,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 September 2017,
after mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 1,0 %","As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,307,301,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 September 2017,
after mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 0,5 %","As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,308,302,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 September 2017,
after mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2,0 %","As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,309,303,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 September 2017,
after mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2,0 %","As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,310,304,1,,gap,Hair dye substance,As from,,,,,,
III,310,304,2,,gap,in non-oxidative,3 September,,,,,,
III,310,304,3,,gap,hair dye products,"2017: 2,0 %",2.0,%,,,,
III,311,305,1,,gap,Hair dye substance,As from,,,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past’."
III,311,305,2,,gap,in non-oxidative,3 September,,,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past’."
III,311,305,3,,gap,hair dye products,"2017: 0,5 %",0.5,%,,,"As from 3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","As from 3 March 2018:
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past’."
III,312,306,1,,none,,,,,,,"Maximum concentration of
peanut proteins: 0,5 ppm (22)",
III,313,307,1,,none,,,,,,,"Maximum molecular weight
average of the peptides in
hydrolysates: 3,5 kDa (23)",
III,314,308,1,a,label,"(a) Leave-on
products","(a) 0,01 %",0.01,%,,,"For (a) and (b): Alpha
terthienyl (terthiophen)
content in the extract/oil
≤ 0,35 %.
For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural/artificial
UV light.
For (a) and (b): In case of
combined use with Tagetes
patula (entry 309), the total
combined content of
Tagetes in ready
for use preparation shall not
exceed the
maximum concentration
limits set out in column (g).",
III,314,308,2,b,label,"(b) Rinse-off
products","(b) 0,1 %",0.1,%,,,"For (a) and (b): Alpha
terthienyl (terthiophen)
content in the extract/oil
≤ 0,35 %.
For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural/artificial
UV light.
For (a) and (b): In case of
combined use with Tagetes
patula (entry 309), the total
combined content of
Tagetes in ready
for use preparation shall not
exceed the
maximum concentration
limits set out in column (g).",
III,315,309,1,a,label,"(a) Leave-on
products","(a) 0,01 %",0.01,%,,,"For (a) and (b): Alpha
terthienyl (terthiophen)
content in the extract/oil
≤ 0,35 %.
For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural/artificial
UV light.
For (a) and (b): In case of
combined use with Tagetes
minuta (entry 308), the total
combined content of
Tagetes in ready
for use preparation shall not
exceed the
maximum concentration
limits set out in column (g).",
III,315,309,2,b,label,"(b) Rinse-off
products","(b) 0,1 %",0.1,%,,,"For (a) and (b): Alpha
terthienyl (terthiophen)
content in the extract/oil
≤ 0,35 %.
For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural/artificial
UV light.
For (a) and (b): In case of
combined use with Tagetes
minuta (entry 308), the total
combined content of
Tagetes in ready
for use preparation shall not
exceed the
maximum concentration
limits set out in column (g).",
III,316,310,1,,none,"Rinse-off anti-
dandruff sham-
poo (29)","2,0 % (29)",2.0,%,,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product. (29)",
III,317,311,1,,none,,,,,,,,
III,318,312,1,,none,,"0,001 %",0.001,%,,,,
III,319,313,1,,none,Nail products,,,,,,Professional use only,"For professional use only
Can cause an allergic reaction"
III,320,314,1,,none,Nail products,,,,,,Professional use only,"For professional use only
Can cause an allergic reaction"
III,321,315,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 June 2021, after
mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2 % (calculated as free base)","As from 3 December 2021, to be
printed on the label: The mixing
ratio.
‘ Hair colorants can cause severe
allergic reactions. Read and follow
instructions. This product is not
intended for use on persons under
the age of 16. Temporary “black
henna” tattoos may increase your
risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,322,316,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 June 2021, after
mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2 % (calculated as free base)","As from 3 December 2021, to be
printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,323,317,1,,gap,Hair dye substance,As from 3 June,,,,,"Methanesulfonates impurities, in particular ethyl
methanesulfonate shall not
be present.",
III,323,317,2,,gap,in non-oxidative,"2021: 0,5 %",0.5,%,,,"Methanesulfonates impurities, in particular ethyl
methanesulfonate shall not
be present.",
III,323,317,3,,gap,hair dye products,,,,,,"Methanesulfonates impurities, in particular ethyl
methanesulfonate shall not
be present.",
III,324,318,1,,gap,Hair dye substance,As from 3 June,,,,,,
III,324,318,2,,gap,in non-oxidative,"2021: 0,5 %",0.5,%,,,,
III,324,318,3,,gap,hair dye products,,,,,,,
III,325,319,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) As from 3 June 2021,
after mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,2 % (calculated as free base)","(a) As from 3 December 2021, to
be printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,325,319,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) As from
3 June
2021: 0,2 %",0.2,%,,,,
III,326,320,1,,none,"Hair dye substance
in non-oxidative
hair dye products","As from 3 June
2021: 25 %",25.0,%,,,,
III,327,321,1,a,label,"(a) face products
in loose
powder form",(a) 25 %;,25.0,%,,,"(a) (b)
Only in the pigmentary form",
III,327,321,2,b,label,"(b) hair aerosol
spray products","(b) 1,4 % for
general
consumers,
and 1.1 %
for professional use.",1.4,%,,"[1.4, 1.1]","(a) (b)
Only in the pigmentary form",
III,327,321,3,c,label,(c) other products,,,,,,"(c)
Not to be used in
applications that may lead to
exposure of the end-user’s
lungs by inhalation",
III,328,322,1,a,label,"(a) Hair dye
substance in
non-oxidative
hair dye
products (32)","(a) 6,25 %",6.25,%,,,,
III,328,322,2,b,label,"(b) Self-tanning
products (32)",(b) 10 %,10.0,%,,,,
III,329,323,1,a,label,"(a) Leave-on
products","(a) 0,1 %",0.1,%,,,"For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural or
artificial UV light.
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,329,323,2,b,label,"(b) Rinse-off
products","(b) 0,2 %",0.2,%,,,"For (a): Not to be used in
sunscreen products and
products marketed for
exposure to natural or
artificial UV light.
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,330,324,1,a,label,"(a) Leave-on skin
products
(except face
makeup,
spray/aerosol
body lotion,
spray/aerosol
deodorant and
hydroalcoholic-based
fragrances)
and leave on
hair products
(except spray/
aerosol
products)","(a) 0,06 %",0.06,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,2,b,label,"(b) Face makeup
(except lip
products, eye
makeup and
makeup
remover)","(b) 0,05 %",0.05,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,3,c,label,"(c) Eye makeup
and makeup
remover","(c) 0,002 %",0.002,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,4,d,label,"(d) Leave-on hair
products
(spray/
aerosol)","(d) 0,009 %",0.009,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,5,e,label,"(e) Deodorant
spray/aerosol","(e) 0,003 %",0.003,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,6,f,label,"(f) Body lotion
spray/aerosol","(f) 0,04 %",0.04,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,7,g,label,"(g) Rinse-off skin
products
(except hand
wash) and
rinse-off hair
products","(g) 0,06 %",0.06,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,8,h,label,(h) Hand wash,"(h) 0,6 %",0.6,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,9,i,label,"(i) Hydroalcoholic-based
fragrances","(i) 0,6 %",0.6,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,10,j,label,(j) Lip products,"(j) 0,03 %",0.03,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,11,k,label,(k) Toothpaste,"(k) 2,52 %",2.52,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,12,l,label,"(l) Mouthwash
intended for
children aged
6–10 years","(l) 0,1 %",0.1,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,13,m,label,"(m) Mouthwash
intended for
children
above 10
years of age
and adults","(m) 0,6 %",0.6,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,330,324,14,n,label,(n) Mouth spray,"(n) 0,65 %",0.65,%,,,"Not to be used in preparations for children under 6
years of age, with the
exception of (k) ‘Toothpaste’.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,331,325,1,a,label,a) Mouthwash,"a) 0,001 %",0.001,%,,,,
III,331,325,2,b,label,b) Toothpaste,"b) 0,1 %",0.1,%,,,,
III,331,325,3,c,label,"c) Other leave-on
and rinse-off
products","c) 0,8 %",0.8,%,,,,
III,332,326,1,,none,"Non-oxidative hair
dye products","0,5 %",0.5,%,,,,
III,333,327,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,334,328,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,335,329,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,336,330,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,337,331,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,338,332,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,339,333,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,340,334,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,341,335,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,342,336,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,343,337,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,344,338,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,345,339,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,346,340,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,347,341,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,348,342,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,349,343,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,350,344,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,351,345,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,352,346,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,353,347,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as
‘Cananga Odorata Oil/
Extract’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration
exceeds of the substance or
substances:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,354,348,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,355,349,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,356,350,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Citrus
Aurantium Flower Oil’ in
the list of ingredients
referred to in Article 19(1),
point (g), when the concentration of the substance or
substances exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,357,351,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Citrus
Aurantium Peel Oil’ in the
list of ingredients referred to
in Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,358,352,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,359,353,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,360,354,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as
‘Lemongrass Oil’ in the list
of ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,361,355,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Eucalyptus Globulus Oil’ in the
list of ingredients referred to
in Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,362,356,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as
‘Eugenia Caryophyllus Oil’
in the list of ingredients
referred to in Article 19(1),
point (g), when the concentration of the substance or
substances exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,363,357,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as
‘Jasmine Oil/Extract’ in the
list of ingredients referred to
in Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,364,358,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as
‘Juniperus Virginiana Oil’
in the list of ingredients
referred to in Article 19(1),
point (g), when the concentration of the substance or
substances exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,365,359,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,366,360,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated ‘Lavandula Oil/ Extract’ in the
list of ingredients referred to
in Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,367,361,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
